ID_Cliente,Edad,AntigUedad_Meses,Numero_Productos,RFM_Score,Numero_Trx_3m,Meses_Cuenta_Sueldo,Numero_Prestamos,Flg_Mal_Pagador,Nro_Familiares,Nro_Llamadas_CC,Genero,Estado_Civil,Edad_Hijo_Menor,IngresoReal,Flg_ViviendaPropia,Flg_PP,Flg_Retencion,Flg_PP_Garantia_HIP,Flg_TC
5409,40,24,3,9.82899,2,13,0,0,5,9,0,0,11,37073,0,0,0,0,0
5477,47,12,2,11.80799,1,5,2,0,4,9,1,1,13,50721,0,0,0,0,0
5507,35,36,0,0,0,31,0,0,4,0,0,2,1,43578,1,0,0,1,1
8,45,0,0,0,0,-3,0,0,1,11,1,2,15,69553,0,0,0,0,0
158,13,48,0,0,0,39,0,0,6,11,0,0,0,37502,1,0,0,0,0
173,45,12,2,11.819,1,6,3,0,5,9,0,0,14,34722,0,1,0,0,0
5408,40,12,0,0,0,5,0,0,4,7,1,2,7,56607,0,0,0,0,0
5579,36,36,0,0,0,28,0,0,1,8,0,0,7,55328,0,0,0,1,0
5695,26,12,1,7.879,1,8,0,0,5,10,1,0,0,42752,0,0,0,0,0
5732,33,36,2,9.91999,1,25,1,0,5,9,1,0,2,71450,1,0,0,0,0
5747,64,24,0,0,0,14,0,0,7,0,0,0,31,61260,1,0,0,0,0
5832,43,12,2,12.719,1,7,1,0,3,8,0,1,14,59133,0,0,0,0,0
5803,37,12,0,0,0,6,3,0,5,10,1,2,10,33549,0,1,0,0,0
5833,35,24,4,10.745667,1,19,0,0,3,8,0,2,6,56458,0,0,0,0,0
5960,59,12,3,7.584,1,8,0,0,4,11,0,1,29,36927,0,0,1,1,0
323,15,36,2,9.772333,1,26,0,0,3,11,0,0,0,37502,0,0,0,0,1
442,52,24,0,0,0,12,3,0,6,10,0,1,21,43484,0,0,0,0,0
6101,41,24,2,11.81999,1,20,0,0,3,11,0,0,7,55328,0,1,1,1,1
6331,78,0,0,0,0,-5,0,0,3,9,1,2,49,62274,1,0,0,0,1
6366,37,24,0,0,0,16,0,0,3,10,0,2,6,56458,1,0,0,0,0
